Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
UP_UP,GO:2000114,regulation of establishment of cell polarity,4/138,21/17381,2.05E-05,0.026440054,0.025324424,22902/6093/889/9475,4
UP_UP,GO:0032878,regulation of establishment or maintenance of cell polarity,4/138,23/17381,3.00E-05,0.026440054,0.025324424,22902/6093/889/9475,4
UP_UP,GO:0022406,membrane docking,8/138,164/17381,4.97E-05,0.029249092,0.028014934,10142/22832/5108/51762/6093/80184/8675/9662,8
UP_NO,GO:0008380,RNA splicing,21/157,428/17381,2.94E-10,7.03E-07,6.44E-07,10199/10283/11168/140890/153527/2332/23350/284695/3181/3187/3189/3192/55119/55660/57187/57703/58517/65109/81608/9360/9541,21
UP_NO,GO:0006397,mRNA processing,21/157,491/17381,3.47E-09,4.15E-06,3.80E-06,10283/11168/140890/153527/2332/23350/284695/3181/3187/3189/3192/55119/55660/57187/57703/58517/65109/79811/81608/87178/9541,21
UP_NO,GO:0000375,"RNA splicing, via transesterification reactions",16/157,326/17381,4.41E-08,3.52E-05,3.22E-05,10199/10283/11168/140890/153527/2332/23350/3181/3187/3189/3192/55660/57703/58517/65109/81608,16
UP_NO,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",15/157,323/17381,2.43E-07,0.000116332,0.000106643,10283/11168/140890/153527/2332/23350/3181/3187/3189/3192/55660/57703/58517/65109/81608,15
UP_NO,GO:0000398,"mRNA splicing, via spliceosome",15/157,323/17381,2.43E-07,0.000116332,0.000106643,10283/11168/140890/153527/2332/23350/3181/3187/3189/3192/55660/57703/58517/65109/81608,15
UP_NO,GO:0002831,regulation of response to biotic stimulus,9/157,125/17381,1.99E-06,0.000794341,0.00072818,10666/117854/1604/200316/23586/29110/3592/51191/85363,9
UP_NO,GO:0009615,response to virus,13/157,310/17381,4.90E-06,0.001675608,0.001536045,10561/117854/200316/2332/23586/2635/29110/3428/3592/51191/5610/7098/85363,13
UP_NO,GO:0006403,RNA localization,11/157,231/17381,8.22E-06,0.002367851,0.00217063,23049/2332/26019/3181/3192/57187/5903/65109/6741/81608/87178,11
UP_NO,GO:0050657,nucleic acid transport,10/157,195/17381,1.13E-05,0.002367851,0.00217063,23049/2332/26019/3181/57187/5903/65109/6741/81608/87178,10
UP_NO,GO:0050658,RNA transport,10/157,195/17381,1.13E-05,0.002367851,0.00217063,23049/2332/26019/3181/57187/5903/65109/6741/81608/87178,10
UP_NO,GO:0043484,regulation of RNA splicing,8/157,118/17381,1.17E-05,0.002367851,0.00217063,140890/2332/284695/3181/3187/3192/57703/58517,8
UP_NO,GO:0051168,nuclear export,10/157,198/17381,1.29E-05,0.002367851,0.00217063,23049/26019/3181/57187/5903/65109/6672/6741/81608/9147,10
UP_NO,GO:0051236,establishment of RNA localization,10/157,198/17381,1.29E-05,0.002367851,0.00217063,23049/2332/26019/3181/57187/5903/65109/6741/81608/87178,10
UP_NO,GO:0071426,ribonucleoprotein complex export from nucleus,8/157,129/17381,2.24E-05,0.003832725,0.003513493,23049/26019/3181/57187/5903/65109/6741/81608,8
UP_NO,GO:0071166,ribonucleoprotein complex localization,8/157,131/17381,2.51E-05,0.003998436,0.003665402,23049/26019/3181/57187/5903/65109/6741/81608,8
UP_NO,GO:0051169,nuclear transport,15/157,476/17381,2.78E-05,0.004153641,0.00380768,11168/23049/23586/26019/3181/4088/4659/57187/5903/65109/6672/6741/7098/81608/9147,15
UP_NO,GO:0006611,protein export from nucleus,9/157,179/17381,3.65E-05,0.005138253,0.004710282,23049/26019/3181/57187/5903/65109/6672/6741/81608,9
UP_NO,GO:0051607,defense response to virus,10/157,227/17381,4.16E-05,0.005530753,0.00507009,117854/200316/23586/2635/29110/3428/51191/5610/7098/85363,10
UP_NO,GO:0006405,RNA export from nucleus,8/157,143/17381,4.70E-05,0.0059187,0.005425725,23049/26019/3181/57187/5903/65109/6741/81608,8
UP_NO,GO:0035456,response to interferon-beta,4/157,23/17381,4.96E-05,0.005937897,0.005443323,117854/54739/7098/87178,4
UP_NO,GO:0015931,nucleobase-containing compound transport,10/157,235/17381,5.57E-05,0.006347032,0.00581838,23049/2332/26019/3181/57187/5903/65109/6741/81608/87178,10
UP_NO,GO:0006406,mRNA export from nucleus,7/157,110/17381,6.27E-05,0.006522963,0.005979658,23049/26019/3181/57187/5903/65109/81608,7
UP_NO,GO:0071427,mRNA-containing ribonucleoprotein complex export from nucleus,7/157,110/17381,6.27E-05,0.006522963,0.005979658,23049/26019/3181/57187/5903/65109/81608,7
UP_NO,GO:0051028,mRNA transport,8/157,150/17381,6.59E-05,0.006574014,0.006026456,23049/2332/26019/3181/57187/5903/65109/81608,8
UP_NO,GO:0050684,regulation of mRNA processing,7/157,112/17381,7.03E-05,0.006593294,0.006044131,140890/2332/3181/3192/57703/58517/79811,7
UP_NO,GO:0048024,"regulation of mRNA splicing, via spliceosome",6/157,78/17381,7.42E-05,0.006593294,0.006044131,140890/2332/3181/3192/57703/58517,6
UP_NO,GO:0019079,viral genome replication,7/157,113/17381,7.44E-05,0.006593294,0.006044131,117854/200316/2332/3428/5610/7913/8411,7
UP_NO,GO:0000723,telomere maintenance,8/157,155/17381,8.30E-05,0.0070962,0.006505149,23049/3181/3192/4683/54464/5981/6672/79677,8
UP_NO,GO:0006913,nucleocytoplasmic transport,14/157,470/17381,9.47E-05,0.007811333,0.007160718,23049/23586/26019/3181/4088/4659/57187/5903/65109/6672/6741/7098/81608/9147,14
UP_NO,GO:0019058,viral life cycle,11/157,313/17381,0.000131613,0.010498345,0.009623926,117854/1604/200316/2332/3428/558/5610/5903/7913/8411/85363,11
UP_NO,GO:0032479,regulation of type I interferon production,7/157,125/17381,0.000140354,0.010695854,0.009804984,23586/29110/3428/51191/7098/81030/8887,7
UP_NO,GO:0032200,telomere organization,8/157,168/17381,0.000145376,0.010695854,0.009804984,23049/3181/3192/4683/54464/5981/6672/79677,8
UP_NO,GO:0032606,type I interferon production,7/157,126/17381,0.000147498,0.010695854,0.009804984,23586/29110/3428/51191/7098/81030/8887,7
UP_NO,GO:0048278,vesicle docking,5/157,58/17381,0.000175726,0.012368004,0.011337859,54536/55014/6814/6857/8615,5
UP_NO,GO:0000819,sister chromatid segregation,9/157,230/17381,0.000247109,0.016895184,0.015487964,10051/1062/25836/25936/3192/324/5903/6249/9928,9
UP_NO,GO:0035458,cellular response to interferon-beta,3/157,15/17381,0.000303768,0.01970327,0.018062162,117854/7098/87178,3
UP_NO,GO:0000070,mitotic sister chromatid segregation,7/157,142/17381,0.000307963,0.01970327,0.018062162,10051/1062/25836/25936/3192/324/9928,7
UP_NO,GO:0048284,organelle fusion,8/157,188/17381,0.000312881,0.01970327,0.018062162,219285/3799/54332/54809/55014/6857/8411/8615,8
UP_NO,GO:0000413,protein peptidyl-prolyl isomerization,4/157,39/17381,0.00041199,0.025279281,0.023173739,10283/5903/85313/9360,4
